ID,Name,Year,Season,English,Japanese,Episodes,Broadcast,Source,Duration,Rating,Score,Members,Favorites,Action,Adventure,Cars,Comedy,Dementia,Demons,Drama,Ecchi,Fantasy,Game,Harem,Hentai,Historical,Horror,Josei,Kids,Magic,Martial Arts,Mecha,Military,Music,Mystery,Parody,Police,Psychological,Romance,Samurai,School,Sci-Fi,Seinen,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life,Space,Sports,Super Power,Supernatural,Thriller,Vampire,Yaoi,Yuri
40010,Ishuzoku Reviewers,2020,winter,Interspecies Reviewers,異種族レビュアーズ,12,Saturdays at 23:00 (JST),Manga,23,R+ - Mild Nudity,7.61,168339,17545,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38883,Haikyuu To the Top,2020,winter,,ハイキュー!! TO THE TOP,13,Saturdays at 01:25 (JST),Manga,24,PG-13 - Teens 13 or older,8.76,149026,1557,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,,,,,,
38656,Darwins Game,2020,winter,Darwin's Game,ダーウィンズゲーム,11,Saturdays at 00:00 (JST),Manga,26,R - 17+ (violence & profanity),7.3,130054,646,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,
39017,Kyokou Suiri,2020,winter,In/Spectre,虚構推理,12,Sundays at 01:30 (JST),Manga,24,R - 17+ (violence & profanity),7.5,122392,441,,,,1,,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,,1,,,,,,1,,,,
39792,Eizouken ni wa Te wo Dasu na,2020,winter,Keep Your Hands Off Eizouken!,映像研には手を出すな!,12,Mondays at 00:10 (JST),Manga,25,PG-13 - Teens 13 or older,8.23,100148,557,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,
39575,Somali to Mori no Kamisama,2020,winter,Somali and the Forest Spirit,ソマリと森の神様,12,Fridays at 00:30 (JST),Web manga,23,PG-13 - Teens 13 or older,7.68,99653,292,,1,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
38790,Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu,2020,winter,"BOFURI: I Don't Want to Get Hurt, so I'll Max Out My Defense.",痛いのは嫌なので防御力に極振りしたいと思います。,12,Wednesdays at 22:00 (JST),Light novel,23,None,7.4,99722,406,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
37345,Plunderer,2020,winter,Plunderer,プランダラ,24,Thursdays at 01:05 (JST),Manga,22,None,6.21,95316,464,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
39534,Jibaku Shounen Hanako-kun,2020,winter,Toilet-bound Hanako-kun,地縛少年花子くん,12,Fridays at 01:58 (JST),Manga,24,PG-13 - Teens 13 or older,7.77,92239,1084,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,
38992,Rikei ga Koi ni Ochita no de Shoumei shitemita,2020,winter,"Science Fell in Love, So I Tried to Prove It",理系が恋に落ちたので証明してみた。,12,Saturdays at 00:30 (JST),Web manga,23,PG-13 - Teens 13 or older,7.35,83381,273,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
